,name,address
0,강원홍천군홍천점,강원 홍천군 홍천읍 갈마로
1,강원양구군방산점,강원 양구군 방산면 장거리길
2,강원춘천시석사점,강원 춘천시 우석로
3,강원춘천시퇴계점,강원 춘천시 춘주로
4,강원홍천군시동점,강원 홍천군 남면 시동안로
5,강원인제군신남점,강원 인제군 남면 신남로
6,강원춘천시교동후평점,강원 춘천시 성심로
7,강원화천군산양리점,강원 화천군 상서면 영서로
8,강원양구군동면점,강원 양구군 동면 금강산로
9,강원강릉시포남1점,강원 강릉시 성덕포남로
10,강원영월군영월점,강원 영월군 영월읍 은행나무길
11,강원강릉시초당점,강원 강릉시 초당원길
12,강원원주시단계점,강원 원주시 원문로
13,강원원주시명륜점,강원 원주시 남산로
14,강원태백시태백점,강원 태백시 황지로
15,강원원주시단관점,강원 원주시 단관초교길
16,강원속초시교동점,강원 속초시 동해대로
17,강원속초시조양점,강원 속초시 동해대로
18,강원원주시문막점,강원 원주시 문막읍 건등로
19,강원동해시부곡점,강원 동해시 발한로
20,강원양양군양양점,강원 양양군 양양읍 양양로
21,강원양양군하조대점,강원 양양군 현북면 조준길
22,강원원주시오크밸리점,강원도 원주시 지정면 오크밸리1길
23,강원철원군지경리점,강원 철원군 갈말읍 청양로
24,강원인제군서화점(B),강원 인제군 서화면 천도로
25,강원화천군다목리점,강원 화천군 상서면 수피령로
26,강원평창군진부점,강원 평창군 진부면 진부중앙로
27,강원동해시망상점,강원 동해시 동해대로
28,강원철원군자등리점,강원 철원군 서면 자등로
29,강원홍천군대명비발디점,강원 홍천군 서면 한치골길
30,강원화천군화천점,강원 화천군 화천읍 중앙
31,강원강릉시내곡점,강원 강릉시 범일로
32,강원속초시금호점,강원 속초시 미시령로
33,강원원주시무실점,강원 원주시 섬밭들길
34,강원동해시효가점,강원 동해시 동해대로
35,강원태백시장성점,강원 태백시 장성로
36,강원원주시태장점,강원 원주시 북원로
37,강원평창군대관령점,강원 평창군 대관령면 경강로 
38,강원평창군장평점,강원 평창군 용평면 경강로
39,강원정선군정선점,강원 정선군 정선읍 봉양길
40,경기포천시운천점,경기 포천시 영북면 운천로
41,강원철원군동송점,강원 철원군 동송읍 금학로
42,강원철원군와수리점,강원 철원군 서면 와수로
43,강원강릉시홍제점,강원 강릉시 홍제로
44,강원평창군봉평점,강원 평창군 봉평면 태기로
45,강원강릉시솔올점,강원 강릉시 원대로
46,강원강릉시입암점,강원 강릉시 강변로
47,강원강릉시사천해변점,강원 강릉시 사천면 진리해변길
48,강원춘천시효자점,강원 춘천시 서부대성로
49,강원춘천시칠전송암점,강원 춘천시 옛경춘로
50,강원인제군현리점,강원 인제군 기린면 내린천로
51,강원양구군양구점,강원 양구군 양구읍 중앙길
52,강원철원군내대리점,강원 철원군 갈말읍 두루미로
53,강원원주시혁신도시점,강원 원주시 웅비2길 
54,강원춘천시강북점,강원 춘천시 충열로
55,강원원주시반곡봉산점,강원 원주시 반곡길
56,강원삼척시교동점,강원 삼척시 정상로
